0,ATL,ORD,LAX,DFW,DEN,JFK,SFO,CLT,LAS,PHX,IAH,MIA,MCO,EWR,SEA,MSP,DTW,PHL,BOS,LGA,FLL,BWI,IAD,SLC,DCA,MDW,HNL,SAN,TPA,PDX,STL,HOU,OAK,MCI,BNA,AUS,RDU,CLE,SMF,SNA,MSY,SJC,SAT,DAL,PIT,MKE
ATL,1,109,56,56,93,23,54,64,51,39,65,56,57,72,42,55,56,97,55,69,43,58,90,37,36,42,17,31,34,36,42,52,14,36,38,41,44,67,27,28,44,29,40,32,51,34
ORD,110,12,76,84,68,64,52,84,48,38,58,72,42,69,41,154,124,105,76,64,45,62,58,60,56,0,29,51,36,48,71,0,4,103,45,74,97,83,12,27,67,21,70,5,81,40
LAX,48,74,14,91,89,68,105,20,91,81,38,37,69,61,91,59,37,54,77,33,75,34,52,60,53,19,88,39,46,71,35,14,53,33,35,49,50,24,38,7,38,66,38,20,32,21
DFW,55,81,70,8,96,44,52,29,44,41,75,19,49,68,53,104,96,59,67,83,27,39,58,64,23,2,18,45,35,40,19,20,26,16,15,29,19,37,24,22,32,38,19,0,21,32
DEN,89,68,94,99,0,41,58,30,86,108,62,26,56,29,68,121,81,44,43,77,49,37,28,140,38,26,13,67,38,67,64,17,30,72,46,80,26,66,42,48,50,38,63,18,62,41
JFK,20,59,72,38,42,10,65,52,61,38,26,50,41,18,43,36,33,45,53,2,31,40,54,30,25,0,23,52,43,29,18,12,12,16,26,38,60,37,14,14,32,13,16,0,54,9
SFO,51,53,95,51,47,64,1,16,56,57,27,26,42,33,64,47,26,46,55,20,44,24,33,49,40,12,39,57,24,69,33,12,3,31,20,59,21,17,20,48,26,3,31,12,26,18
CLT,62,78,28,27,25,56,21,14,17,18,39,32,29,45,16,76,118,51,43,99,18,53,62,29,54,11,0,17,21,13,52,11,5,49,64,19,45,83,11,4,47,3,35,6,41,28
LAS,50,40,89,47,79,63,62,22,2,40,32,21,46,36,47,75,39,47,48,36,39,49,21,32,27,15,46,28,34,56,22,15,32,21,12,31,21,24,20,39,30,17,24,13,24,23
PHX,44,41,79,41,100,36,58,28,50,1,40,24,36,38,51,55,48,40,49,30,38,35,23,54,32,13,25,59,37,53,35,14,56,39,14,49,33,23,39,36,26,46,48,16,36,32
IAH,61,53,41,84,57,21,28,41,28,39,10,49,36,25,31,88,82,32,24,46,20,23,40,59,16,1,18,17,19,16,37,1,7,29,18,44,40,43,22,23,45,14,58,25,49,25
MIA,81,68,43,20,25,46,25,31,24,25,59,28,54,61,21,36,30,35,30,37,28,27,53,4,14,5,10,17,23,8,18,6,0,1,37,12,17,34,2,15,24,7,12,8,30,5
MCO,62,40,63,36,50,40,45,28,42,39,38,52,2,46,49,54,46,48,68,52,41,36,23,36,49,25,11,44,24,25,24,23,13,26,15,41,57,28,20,24,35,16,24,14,33,38
EWR,71,66,63,65,38,16,30,50,29,36,29,58,54,2,33,84,72,30,83,9,35,66,83,35,45,18,13,25,51,23,37,16,26,34,31,33,53,54,24,21,51,28,27,13,60,21
SEA,49,43,88,44,73,47,57,16,50,57,30,22,36,30,2,56,16,42,54,34,38,28,12,40,29,13,39,42,24,47,35,12,42,24,13,34,22,15,35,32,21,29,33,12,19,19
MSP,55,151,64,108,117,39,55,73,74,55,79,34,64,80,62,3,51,101,75,68,37,63,86,45,64,78,12,44,43,34,69,17,13,64,67,55,70,66,31,31,60,30,66,17,66,78
DTW,46,128,39,92,87,34,32,116,51,45,83,26,46,73,20,46,1,89,61,65,41,43,70,30,79,31,0,39,47,22,82,14,19,74,93,58,87,46,17,20,57,25,50,15,81,76
PHL,97,104,50,48,41,32,47,44,48,39,31,38,46,48,42,100,89,13,68,63,42,73,28,29,68,15,6,39,41,30,51,12,26,41,50,25,58,77,23,24,45,28,34,14,68,24
BOS,54,83,75,63,47,54,61,34,50,49,23,29,68,90,59,75,51,69,11,34,58,49,56,31,34,17,11,51,63,51,31,19,12,19,20,35,57,60,26,24,48,28,25,13,56,19
LGA,61,58,40,72,70,10,31,106,50,27,46,41,61,10,38,80,72,56,31,10,51,17,69,19,30,14,6,22,52,21,50,15,13,58,72,19,84,59,14,16,42,16,29,12,97,60
FLL,49,40,70,33,52,29,50,18,42,42,17,18,39,46,45,41,37,39,52,60,2,56,20,17,40,22,10,34,57,24,15,12,27,19,15,35,35,21,19,27,21,10,13,14,45,15
BWI,51,62,34,40,35,46,32,53,48,37,27,25,38,76,34,61,48,79,52,20,52,0,13,31,10,15,6,28,46,27,21,16,12,27,19,22,55,53,20,23,36,25,18,14,19,12
